---------
Variables: name (type shape) [size]
---------
model/h8/mlp/c_fc/b:0 (float32_ref 3072) [3072, bytes: 12288]
model/h8/mlp/c_proj/w:0 (float32_ref 1x3072x768) [2359296, bytes: 9437184]
model/h8/mlp/c_proj/b:0 (float32_ref 768) [768, bytes: 3072]
model/h9/ln_1/g:0 (float32_ref 768) [768, bytes: 3072]
model/h9/ln_1/b:0 (float32_ref 768) [768, bytes: 3072]
model/h9/attn/c_attn/w:0 (float32_ref 1x768x2304) [1769472, bytes: 7077888]
model/h9/attn/c_attn/b:0 (float32_ref 2304) [2304, bytes: 9216]
model/h9/attn/c_proj/w:0 (float32_ref 1x768x768) [589824, bytes: 2359296]
model/h9/attn/c_proj/b:0 (float32_ref 768) [768, bytes: 3072]
model/h9/ln_2/g:0 (float32_ref 768) [768, bytes: 3072]
model/h9/ln_2/b:0 (float32_ref 768) [768, bytes: 3072]
model/h9/mlp/c_fc/w:0 (float32_ref 1x768x3072) [2359296, bytes: 9437184]
model/h9/mlp/c_fc/b:0 (float32_ref 3072) [3072, bytes: 12288]
model/h9/mlp/c_proj/w:0 (float32_ref 1x3072x768) [2359296, bytes: 9437184]
model/h9/mlp/c_proj/b:0 (float32_ref 768) [768, bytes: 3072]
model/h10/ln_1/g:0 (float32_ref 768) [768, bytes: 3072]
model/h10/ln_1/b:0 (float32_ref 768) [768, bytes: 3072]
model/h10/attn/c_attn/w:0 (float32_ref 1x768x2304) [1769472, bytes: 7077888]
model/h10/attn/c_attn/b:0 (float32_ref 2304) [2304, bytes: 9216]
model/h10/attn/c_proj/w:0 (float32_ref 1x768x768) [589824, bytes: 2359296]
model/h10/attn/c_proj/b:0 (float32_ref 768) [768, bytes: 3072]
model/h10/ln_2/g:0 (float32_ref 768) [768, bytes: 3072]
model/h10/ln_2/b:0 (float32_ref 768) [768, bytes: 3072]
model/h10/mlp/c_fc/w:0 (float32_ref 1x768x3072) [2359296, bytes: 9437184]
model/h10/mlp/c_fc/b:0 (float32_ref 3072) [3072, bytes: 12288]
model/h10/mlp/c_proj/w:0 (float32_ref 1x3072x768) [2359296, bytes: 9437184]
model/h10/mlp/c_proj/b:0 (float32_ref 768) [768, bytes: 3072]
model/h11/ln_1/g:0 (float32_ref 768) [768, bytes: 3072]
model/h11/ln_1/b:0 (float32_ref 768) [768, bytes: 3072]
model/h11/attn/c_attn/w:0 (float32_ref 1x768x2304) [1769472, bytes: 7077888]
model/h11/attn/c_attn/b:0 (float32_ref 2304) [2304, bytes: 9216]
model/h11/attn/c_proj/w:0 (float32_ref 1x768x768) [589824, bytes: 2359296]
model/h11/attn/c_proj/b:0 (float32_ref 768) [768, bytes: 3072]
model/h11/ln_2/g:0 (float32_ref 768) [768, bytes: 3072]
model/h11/ln_2/b:0 (float32_ref 768) [768, bytes: 3072]
model/h11/mlp/c_fc/w:0 (float32_ref 1x768x3072) [2359296, bytes: 9437184]
model/h11/mlp/c_fc/b:0 (float32_ref 3072) [3072, bytes: 12288]
model/h11/mlp/c_proj/w:0 (float32_ref 1x3072x768) [2359296, bytes: 9437184]
model/h11/mlp/c_proj/b:0 (float32_ref 768) [768, bytes: 3072]
model/ln_f/g:0 (float32_ref 768) [768, bytes: 3072]
model/ln_f/b:0 (float32_ref 768) [768, bytes: 3072]
Total size of variables: 124439808
Total bytes of variables: 497759232
